1,General Project Information,,,,,,,,,Project Managers,,Project Leaders,,Project Types,,Special Types,Compensation,Category,,,
2,Project Name:,,Muncie Family Physicians,,,,Project Start Date:,2026-07-06 00:00:00,,(Select),,(Select),,(Select),,(Select),(Select),,,,
3,Project Location:,,(from Initial Information),,,,Project Number:,(Must be Requested),,"Andrea Bowman, AIA",,"Justin Aubert, AIA",,Consolidation,,(None),(Schedule E),"If < 10,000S.F.",,,
4,,,(from Initial Information),,,,,,,"Sean Johnson, AIA",,,,Contraction,,Feasibility Stage,(Schedule F),"If  < 10,000S.F.",,,
5,Project Group:,,(Select),,,,Project Manager:,(Select),,,,,,Expansion,,Architectural Site Plan,Percentage Fee,,,,
6,Project Type:,,(Select),,,,Project Leader:,(Select),,,,,,New Site,,Preliminary Site Plan,Stipulated Fee,,,,
7,Special Type:,,(Select),,,,UHG DE Regional Rep.:,(from Initial Information),,,,,,Ground Up,,One-off,Negotiated Fee,,,,
8,Compensation:,,(Select),,,,UHG Regional PM Rep.:,(from Initial Information),,,,,,Tenant Build-out,,Infrastructure/MDF,,,,,
9,Current Project Status,,,,,,,,,,,,,Remodel/Renovation,,Refresh,,,,,
10,Current Phase:,,(Select),,Issue(s):,='Project Tracking Report'!F10,,,,,,,,Relocation,,,,,,,
11,Completion %:,,(Consult w/Project Leader),,,,,,,,,,,Split-Relocation,,,,,,,
12,Completion Date:,,(from Design Schedule),,,,,,,,,,,,,,,,,,
13,At Risk:,,(Select),,,,,,,,,,,,,,,,,,
15,Scope Description,,,,,,,,,Phases,,,Design Consultants,,,Architect's Supplemental Services,,,,,
16,(from Initial Information) Must be refined/discussed to create clear understanding in Project Initiation Phase,,,,,,,,,(Select),,,(Select),,,(Select),,,,,
17,,,,,,,,,,Project Initiation,,,,,,3D scanning services/digital imaging and associated travel/management,,,,,
18,,,,,,,,,,FS -Kick-off,,,,,,Field Measurement and Site Due Diligence Report,,,,,
19,,,,,,,,,,FS_Scope Interview,,,,,,Civil Engineering,,,,,
20,,,,,,,,,,FS-Preliminary Program,,,,,,Landscape Design,,,,,
21,,,,,,,,,,FS-Scenario Development,,,,,,MEP Engineering,,,,,
22,,,,,,,,,,FS-Utilization Analysis,,,,,,On-Site Project Representation,,,,,
23,,,,,,,,,,Schematic Design,,,Supplemental Service Consultants,,,Commissioning,,,,,
24,Project S.F.:,,Existing (S.F.):,(TBD),,% of Existing,,,,Design Development,,,(Architect),,,Sustainable Project Services pursuant to Section 3.1.3,,,,,
25,,"xx,xxx",New (S.F.):,(TBD),,Conditions Reused:,,(Requested Data),,Construction Documents,,,Consultant,,,Historic Preservation,,,,,
26,Project Sustainability Objectives,,,,,,,,,Bidding/Permitting,,,,,,Other Services provided by Specialty Consultants,,,,,
27,(from Initial Information),,,,,,,,,Construction Administration,,,,,,Post Occupancy Evaluation,,,,,
28,,,,,,,,,,Project Close-out,,,,,,Other Supplemental Services (Listed Below):,,,,,
29,,,,,,,Certification Req'd.:,(Select),,Post Occupancy,,,,,,,,,,,
30,Budget (Cost of the Work),,,,Project Schedule Information (Initial),,,,,Warranty Period,,,,,,,,,,,
31,Original COW:,,(from Initial Information),,Project Start Date:,,,=H2,,,,,,,,,,,,,
32,DD COW:,,(TBD),,Design Start Date:,,,(Date of Purchase Order),,Owner's Consultants and Contractors,,,,,,,,,,,
33,CD COW:,,(TBD),,Design Completion Date:,,,(from Design Schedule),,(Select),,,,,,,,,,,
34,Bid Amount:,,(TBD),,Construction Start Date:,,,(from Initial Information),,Furniture,,,,,,,,,,,
35,Final COW:,,(TBD),,Substantial Completion Date:,,,(from Initial Information),,Flooring,,,,,,,,,,,
36,,,,,,,,,,Sound Masking,,,,,,,,,,,
37,Design Consultants (Basic Services),,,,Supplemental Consulting Services (if Required),,,,,Artwork/Branding,,,,,,,,,,,
38,Mechanical:,,(Select),,(Select),,,(Architect),,Security (Owner internal and Business teams),,,,,,,,,,,
39,Contact:,,,,(Select),,,(Architect),,Audio Visual,,,,,,,,,,,
40,Electrical:,,(Select),,(Select),,,(Architect),,Signage,,,,,,,,,,,
41,Contact:,,,,(Select),,,(Architect),,Medical Equipment,,,,,,,,,,,
42,Structural:,,(Select),,(Select),,,(Architect),,IT/Technology/Low Voltage (Owner internal and Business teams),,,,,,,,,,,
43,Contact:,,,,(Select),,,(Architect),,Storefront Systems,,,,,,,,,,,
44,Owner's Consultants,,,,,,,,,Food Service,,,,,,,,,,,
45,(Select),,,,(Select),,,,,,,,,,,,,,,,
46,(Select),,,,(Select),,,,,,,,,,,,,,,,
47,(Select),,,,(Select),,,,,,,,,,,,,,,,
48,(Select),,,,(Select),,,,,,,,,,,,,,,,
49,(Select),,,,(Select),,,,,,,,,,,,,,,,
50,(Select),,,,(Select),,,,,,,,,,,,,,,,
